fips,state_abbr,pollutant,model,season,elevated,damage
25009,MA,nh3,EASIUR,summer,ground level,475329.0071529433873423207245789383444412
25009,MA,pm25,EASIUR,fall,ground level,813806.4265843193476760213955057199350660
25009,MA,so2,EASIUR,fall,ground level,56795.02733745322146859476283253155851792
25009,MA,nox,EASIUR,fall,ground level,37649.704713809888163541804823522731405416
25009,MA,nh3,EASIUR,fall,ground level,413820.2984565297213532439844399983355468
25009,MA,pm25,InMAP,annual,ground level,835035.5836217481195639254691065358726492
25009,MA,so2,InMAP,annual,ground level,70664.38768784308951791386403242539114248
25009,MA,nox,InMAP,annual,ground level,28954.804324329883863415313274721911163224
25009,MA,nh3,InMAP,annual,ground level,571405.2581891107721373153420435701518212
25009,MA,voc,InMAP,annual,ground level,29753.518407699104250921432965528690489772
25011,MA,pm25,AP2,annual,ground level,276897.62053759103468387021973844987834164
25011,MA,so2,AP2,annual,ground level,80878.26957044195170735948870686046816116
25011,MA,nox,AP2,annual,ground level,1534.7199945310332161643551834223558982836
25011,MA,nh3,AP2,annual,ground level,432527.6755700987370017151486666326649792
25011,MA,voc,AP2,annual,ground level,26766.554085404810361740587776478196905356
25011,MA,pm25,EASIUR,annual,ground level,729305.2524090867363079291917280424034852
25011,MA,so2,EASIUR,annual,ground level,89480.47684072744383820510343706766743108
25011,MA,nox,EASIUR,annual,ground level,54907.72097334041313998581743874508522172
25011,MA,nh3,EASIUR,annual,ground level,421446.6229034870587958400668160065016564
25011,MA,pm25,EASIUR,winter,ground level,842243.3532112782297275169091719726838452
25011,MA,so2,EASIUR,winter,ground level,49629.96124828764971381574792371468734992
25011,MA,nox,EASIUR,winter,ground level,79209.82470124111346665398100377248689176
25011,MA,nh3,EASIUR,winter,ground level,633185.3308036114346055747017622630428796
25011,MA,pm25,EASIUR,spring,ground level,654653.7994223336239127386034037239351424
25011,MA,so2,EASIUR,spring,ground level,119106.86535996408128334157180200817376712
25011,MA,nox,EASIUR,spring,ground level,64316.21265757633125195795797159263055268
25011,MA,nh3,EASIUR,spring,ground level,334278.89387782021155402598000608531727188
25011,MA,pm25,EASIUR,summer,ground level,712515.9748485974076126625832607617254356
25011,MA,so2,EASIUR,summer,ground level,123524.28283907445054711961425248361993324
25011,MA,nox,EASIUR,summer,ground level,23185.399340673802490830113405623267424876
25011,MA,nh3,EASIUR,summer,ground level,296670.30024142014712638962921663656887132
25011,MA,pm25,EASIUR,fall,ground level,707807.8821541335033802392134486187541908
25011,MA,so2,EASIUR,fall,ground level,65660.79791558359380854347977006418867404
25011,MA,nox,EASIUR,fall,ground level,52919.44719387153411211227093330693515580
25011,MA,nh3,EASIUR,fall,ground level,421651.9666911048030944888715332261082564
25011,MA,pm25,InMAP,annual,ground level,180660.29438673100705758336580844369883300
25011,MA,so2,InMAP,annual,ground level,88003.08255139468537812920418607537396596
25011,MA,nox,InMAP,annual,ground level,14937.883168241098261715524737564957314604
25011,MA,nh3,InMAP,annual,ground level,154027.37832077704866150111155963899069632
25011,MA,voc,InMAP,annual,ground level,11174.262074587970161904559284761414865100
25013,MA,pm25,AP2,annual,ground level,305401.78331774305145375640914216078936556
25013,MA,so2,AP2,annual,ground level,84243.7254895456791911846163311062390524
25013,MA,nox,AP2,annual,ground level,1636.6495759253697253110620793687696612876
25013,MA,nh3,AP2,annual,ground level,516768.4980733980051182104148006732529096
25013,MA,voc,AP2,annual,ground level,29492.121764542388270149976900512402667940
25013,MA,pm25,EASIUR,annual,ground level,919729.3539636592194101945570119643766576
25013,MA,so2,EASIUR,annual,ground level,92859.27540698045026936443951663044490096
25013,MA,nox,EASIUR,annual,ground level,65539.80229301325348993069902129830719552
25013,MA,nh3,EASIUR,annual,ground level,527095.4723437420712317820798483109748896
25013,MA,pm25,EASIUR,winter,ground level,1041890.1372231955576715975938432520882604
25013,MA,so2,EASIUR,winter,ground level,51787.79399379512605650176784056414656452
25013,MA,nox,EASIUR,winter,ground level,89834.4929169568232782057097402950628664
25013,MA,nh3,EASIUR,winter,ground level,794941.7496571954934863058296900745329632
25013,MA,pm25,EASIUR,spring,ground level,840922.8227219108405479204620186544594896
25013,MA,so2,EASIUR,spring,ground level,125066.61243411212139678050174112529570668
25013,MA,nox,EASIUR,spring,ground level,78333.13900070369090417763273382629319572
25013,MA,nh3,EASIUR,spring,ground level,426956.2638020408791441540993356383446032
25013,MA,pm25,EASIUR,summer,ground level,927320.9102384077147821740421591930599472
25013,MA,so2,EASIUR,summer,ground level,126505.36770334257112804981351182481533852
25013,MA,nox,EASIUR,summer,ground level,29900.906957020119222885797583119804536356
25013,MA,nh3,EASIUR,summer,ground level,384045.64567031657483971663554027118038552
25013,MA,pm25,EASIUR,fall,ground level,868783.5456711227646390861300267578989332
25013,MA,so2,EASIUR,fall,ground level,68077.32749667198249612567497300752199412
25013,MA,nox,EASIUR,fall,ground level,64090.67029737141901678498077372078965844
25013,MA,nh3,EASIUR,fall,ground level,502438.2302454170096963755378780968477372
25013,MA,pm25,InMAP,annual,ground level,704087.0639375241738378937849295457080436
25013,MA,so2,InMAP,annual,ground level,96616.54444311766896122382668484062454024
25013,MA,nox,InMAP,annual,ground level,34699.624671368001195620700004038762358296
25013,MA,nh3,InMAP,annual,ground level,530230.4129347786957985729723407727491908
25013,MA,voc,InMAP,annual,ground level,32520.25705954488471114619232369595233580
25015,MA,pm25,AP2,annual,ground level,324466.77082124111458530515927919619913340
25015,MA,so2,AP2,annual,ground level,87680.65644809223056361826563680046233196
25015,MA,nox,AP2,annual,ground level,1665.4856759776729639282254709910269611768
25015,MA,nh3,AP2,annual,ground level,519133.9486050641055454580777913194471808
25015,MA,voc,AP2,annual,ground level,31293.440224740696932422410422578058204136
25015,MA,pm25,EASIUR,annual,ground level,829619.2788307840350929562215076885194484
25015,MA,so2,EASIUR,annual,ground level,90893.27502165544463471065378931850985536
25015,MA,nox,EASIUR,annual,ground level,59900.13946869277356388166963940300186888
25015,MA,nh3,EASIUR,annual,ground level,481279.8866612483305138067784994900765056
25015,MA,pm25,EASIUR,winter,ground level,949318.9814661709904216775546127912304088
25015,MA,so2,EASIUR,winter,ground level,50744.86170156137238774763365007595449260
25015,MA,nox,EASIUR,winter,ground level,84254.9546521634443731195866071180880208
25015,MA,nh3,EASIUR,winter,ground level,722161.9779177842231147267928919034502048
25015,MA,pm25,EASIUR,spring,ground level,753877.5342412600055097249048532306564548
25015,MA,so2,EASIUR,spring,ground level,121887.77777691842578432735055197572391716
25015,MA,nox,EASIUR,spring,ground level,71236.23864684642948336488028441722820048
25015,MA,nh3,EASIUR,spring,ground level,382358.12581369113141217213633909545611088
25015,MA,pm25,EASIUR,summer,ground level,821844.6243403379549022995408865358429776
25015,MA,so2,EASIUR,summer,ground level,124563.4153206383524318433684460990636216
25015,MA,nox,EASIUR,summer,ground level,26002.107464661612379359317461207930087812
25015,MA,nh3,EASIUR,summer,ground level,355105.88416978924199404196864738057112348
25015,MA,pm25,EASIUR,fall,ground level,793435.9752753797313338012585594738939328
25015,MA,so2,EASIUR,fall,ground level,66377.04528750404599478020827183254892276
25015,MA,nox,EASIUR,fall,ground level,58107.25711109956621369729962859783601316
25015,MA,nh3,EASIUR,fall,ground level,465493.5587437191101575994635772680433316
25015,MA,pm25,InMAP,annual,ground level,421689.2110559122984229893823887724827908
25015,MA,so2,InMAP,annual,ground level,105790.13974365987762830843571746876916516
25015,MA,nox,InMAP,annual,ground level,26472.769765048546504070808931247218908624
25015,MA,nh3,InMAP,annual,ground level,330826.44174475101544250192109200508123936
25015,MA,voc,InMAP,annual,ground level,22680.861940801484024977337917537122262944
25017,MA,pm25,AP2,annual,ground level,770462.4915546253931498736674074088474628
25017,MA,so2,AP2,annual,ground level,196407.64773473853525943706501051529102408
25017,MA,nox,AP2,annual,ground level,2996.7817883055287102383089723317590032096
25017,MA,nh3,AP2,annual,ground level,1196891.5170124870183306952413466211310524
25017,MA,voc,AP2,annual,ground level,73544.22084233738852706858817276822561260
25017,MA,pm25,EASIUR,annual,ground level,1439837.7583927259614788629276353819641744
