fips,state_abbr,pollutant,model,season,elevated,damage
25015,MA,nox,InMAP,annual,high stack,9604.072181163350179528741033919527104420
25015,MA,nh3,InMAP,annual,high stack,111933.95633444957204455440914367724662024
25015,MA,voc,InMAP,annual,high stack,8432.091160068946392358696314064635565776
25017,MA,pm25,AP2,annual,high stack,214171.70657061650521058932440492204593208
25017,MA,so2,AP2,annual,high stack,71824.81065751387423858170860757620693196
25017,MA,nox,AP2,annual,high stack,1490.8216013504398396987499713095390791796
25017,MA,nh3,AP2,annual,high stack,339220.26044256237029102105592559936734552
25017,MA,voc,AP2,annual,high stack,22772.32058527135887828150715231226883300
25017,MA,pm25,EASIUR,annual,high stack,575355.5311775576193820986782386587123192
25017,MA,so2,EASIUR,annual,high stack,93737.59979075151622822582737229857075936
25017,MA,nox,EASIUR,annual,high stack,57070.24620774403265122989913050212420892
25017,MA,nh3,EASIUR,annual,high stack,253691.25527353552292252139246930530233284
25017,MA,pm25,EASIUR,winter,high stack,482932.9280319528186633114733224175339812
25017,MA,so2,EASIUR,winter,high stack,31069.364750212802697491047562106210740532
25017,MA,nox,EASIUR,winter,high stack,46434.62045711843550005862786852227631072
25017,MA,nh3,EASIUR,winter,high stack,279581.58066924808412097674349186450569556
25017,MA,pm25,EASIUR,spring,high stack,697836.3536401530604171619446270982180148
25017,MA,so2,EASIUR,spring,high stack,157235.14319855698039397282514131102741256
25017,MA,nox,EASIUR,spring,high stack,95462.48835815173803710292806333531997972
25017,MA,nh3,EASIUR,spring,high stack,299893.43061869975206908883385016446158236
25017,MA,pm25,EASIUR,summer,high stack,703810.2369987662810032372414323757586100
25017,MA,so2,EASIUR,summer,high stack,134213.53796895709805450263070766622513692
25017,MA,nox,EASIUR,summer,high stack,33381.704230973171133659335298879331652968
25017,MA,nh3,EASIUR,summer,high stack,228377.38664239843710620539683764090323296
25017,MA,pm25,EASIUR,fall,high stack,416842.60603935288266655675865752306874596
25017,MA,so2,EASIUR,fall,high stack,52432.35324527914196095121150183989459416
25017,MA,nox,EASIUR,fall,high stack,53002.17178473345482986821851160637134456
25017,MA,nh3,EASIUR,fall,high stack,206912.62316379623645367054146026059035316
25017,MA,pm25,InMAP,annual,high stack,89256.68393127562444691477861266696236420
25017,MA,so2,InMAP,annual,high stack,43159.34149816676654169088407383461420812
25017,MA,nox,InMAP,annual,high stack,4214.044145418768016071543036984182785728
25017,MA,nh3,InMAP,annual,high stack,66039.00978710871627972433353913386812964
25017,MA,voc,InMAP,annual,high stack,4308.345108015622671735959986855536099396
25019,MA,pm25,AP2,annual,high stack,27366.243952123649117115606787451556355752
25019,MA,so2,AP2,annual,high stack,21133.468438133423844695863919381989975572
25019,MA,nox,AP2,annual,high stack,690.6767376479916376860927931786539323364
25019,MA,nh3,AP2,annual,high stack,19167.199780525240112128256588755172279232
25019,MA,voc,AP2,annual,high stack,3291.6317638795018622739888283842572999436
25019,MA,pm25,EASIUR,annual,high stack,222882.85820394717156249179957796131309580
25019,MA,so2,EASIUR,annual,high stack,94921.46616882799446471862183135448004012
25019,MA,nox,EASIUR,annual,high stack,32834.83546660349751680931117788470703388
25019,MA,nh3,EASIUR,annual,high stack,139577.8870036996505779052933083218818256
25019,MA,pm25,EASIUR,winter,high stack,193876.12808838235199055083229176686028232
25019,MA,so2,EASIUR,winter,high stack,44314.97047523037342154432500108537624864
25019,MA,nox,EASIUR,winter,high stack,36055.626372753567816541019539870496348304
25019,MA,nh3,EASIUR,winter,high stack,132313.00859982921598887867485793582710436
25019,MA,pm25,EASIUR,spring,high stack,268047.88762218618460085004029023866628248
25019,MA,so2,EASIUR,spring,high stack,159179.701902330728477258085785097983172
25019,MA,nox,EASIUR,spring,high stack,60218.41363758228541645679506689440023548
25019,MA,nh3,EASIUR,spring,high stack,236053.92817841189364519704613586188431016
25019,MA,pm25,EASIUR,summer,high stack,267122.8968556385216471495241065852885928
25019,MA,so2,EASIUR,summer,high stack,128362.47381462499655232260201122491060156
25019,MA,nox,EASIUR,summer,high stack,21824.978965063635448058283804034269122460
25019,MA,nh3,EASIUR,summer,high stack,107505.23777085097693454006965769388995964
25019,MA,pm25,EASIUR,fall,high stack,162484.5202495816280114168016232544372256
25019,MA,so2,EASIUR,fall,high stack,47828.71848312629746760542029071890167096
25019,MA,nox,EASIUR,fall,high stack,13240.322891014417774209957148197812122740
25019,MA,nh3,EASIUR,fall,high stack,82439.37346570693380286132834450517746092
25019,MA,pm25,InMAP,annual,high stack,6218.514634326379001391130616904834388164
25019,MA,so2,InMAP,annual,high stack,3792.07141503576473585976616119998720184
25019,MA,nox,InMAP,annual,high stack,656.2070952079298349124872448697181671196
25019,MA,nh3,InMAP,annual,high stack,5059.503547207774362800558046989333763612
25019,MA,voc,InMAP,annual,high stack,514.6652216479374452066968359756028116996
25021,MA,pm25,AP2,annual,high stack,159541.22792212676787476869053425409285564
25021,MA,so2,AP2,annual,high stack,52181.52510761246313090831109107019661376
25021,MA,nox,AP2,annual,high stack,1180.8941251929779948120917481411332489464
25021,MA,nh3,AP2,annual,high stack,266651.20588896723664766353163133166731564
25021,MA,voc,AP2,annual,high stack,16934.505724441057204418692066399959607428
25021,MA,pm25,EASIUR,annual,high stack,548521.0818402129944116889696479100770596
25021,MA,so2,EASIUR,annual,high stack,93803.59878935734044441287261406301686324
25021,MA,nox,EASIUR,annual,high stack,54887.93188948122508847223819591585800208
25021,MA,nh3,EASIUR,annual,high stack,256268.28474971227279354954807370909011452
25021,MA,pm25,EASIUR,winter,high stack,462891.8745581756131772042609233555775268
25021,MA,so2,EASIUR,winter,high stack,30246.611135195074604684414266136502878136
25021,MA,nox,EASIUR,winter,high stack,44180.57841912575742162799060597651438896
25021,MA,nh3,EASIUR,winter,high stack,265558.98349931557855951077580394266600248
25021,MA,pm25,EASIUR,spring,high stack,664001.8689695771146174665246656555077032
25021,MA,so2,EASIUR,spring,high stack,158738.89205597981915070743885021489529372
25021,MA,nox,EASIUR,spring,high stack,92026.17559700178894994530654933606123072
25021,MA,nh3,EASIUR,spring,high stack,327763.02405011190010964372575129616235888
25021,MA,pm25,EASIUR,summer,high stack,669586.3364159080035094636709226976214016
25021,MA,so2,EASIUR,summer,high stack,132132.36728493348299722427968620364983468
25021,MA,nox,EASIUR,summer,high stack,33519.626700622035497667654778828166660664
25021,MA,nh3,EASIUR,summer,high stack,238852.18026299265359268174687841857520704
25021,MA,pm25,EASIUR,fall,high stack,397604.24741719751724046060852057037459700
25021,MA,so2,EASIUR,fall,high stack,54096.52468132148669686249256894812128564
25021,MA,nox,EASIUR,fall,high stack,49825.34684117481681282086593427158788876
25021,MA,nh3,EASIUR,fall,high stack,192898.95118642812279265005233576045382432
25021,MA,pm25,InMAP,annual,high stack,68110.68935923859767838919045061024490028
25021,MA,so2,InMAP,annual,high stack,33861.460773548856668018264365408415688552
25021,MA,nox,InMAP,annual,high stack,3558.8960986094597351464542617457493976100
25021,MA,nh3,InMAP,annual,high stack,52847.30271172235702558218411623081737316
25021,MA,voc,InMAP,annual,high stack,3659.885670290091074969436218402820468924
25023,MA,pm25,AP2,annual,high stack,129640.97467135647147561679877529726007764
25023,MA,so2,AP2,annual,high stack,46681.35722711445342004861797130140158928
25023,MA,nox,AP2,annual,high stack,1126.8270136348780986682181106334948900932
25023,MA,nh3,AP2,annual,high stack,193654.03842987473084180400452184627213168
25023,MA,voc,AP2,annual,high stack,13994.45301881734138651809469688716663500
25023,MA,pm25,EASIUR,annual,high stack,412690.45224145244290495007921643471572328
25023,MA,so2,EASIUR,annual,high stack,94334.68743466471214286767027580719796444
25023,MA,nox,EASIUR,annual,high stack,46420.68495250650900318615867065190166248
25023,MA,nh3,EASIUR,annual,high stack,213778.80612414933482560728439873169136204
25023,MA,pm25,EASIUR,winter,high stack,348757.38179767785425268352542222928712784
25023,MA,so2,EASIUR,winter,high stack,33331.634376691172176361934261023181070236
25023,MA,nox,EASIUR,winter,high stack,39676.38456568009936572529032560509775328
25023,MA,nh3,EASIUR,winter,high stack,205710.54779362496829449486167637338927632
25023,MA,pm25,EASIUR,spring,high stack,499824.7245314022263868078468957739892868
25023,MA,so2,EASIUR,spring,high stack,159968.59094332567242386390893989653262744
25023,MA,nox,EASIUR,spring,high stack,81592.87318078930250136513478625732228088
25023,MA,nh3,EASIUR,spring,high stack,320335.97539388077933831189171714744713084
25023,MA,pm25,EASIUR,summer,high stack,505924.8660783722252541018944306013266364
25023,MA,so2,EASIUR,summer,high stack,133169.92745153008587977307440768674618500
25023,MA,nox,EASIUR,summer,high stack,31209.315740350782148376668450015025607708
25023,MA,nh3,EASIUR,summer,high stack,187203.24194957146879133325201526708392792
25023,MA,pm25,EASIUR,fall,high stack,296254.83655835119482836786367649548685188
25023,MA,so2,EASIUR,fall,high stack,50868.59696711304685308281705393731111332
25023,MA,nox,EASIUR,fall,high stack,33204.166323205224907493622476666283709032
25023,MA,nh3,EASIUR,fall,high stack,141865.45935952137705785696947426659971112
25023,MA,pm25,InMAP,annual,high stack,31485.267512523545883871592924782709877204
25023,MA,so2,InMAP,annual,high stack,17253.152504270395697218309014500492320068
25023,MA,nox,InMAP,annual,high stack,1897.5505007379848210370490620017897095884
25023,MA,nh3,InMAP,annual,high stack,25659.662958737388574432064775776701763340
25023,MA,voc,InMAP,annual,high stack,1914.4602154824794647658061923063253042672
25025,MA,pm25,AP2,annual,high stack,165574.76273138964632191333526449669554564
25025,MA,so2,AP2,annual,high stack,50508.42853635434141347938839024701673508
25025,MA,nox,AP2,annual,high stack,1131.1205851531957125136262716948572610188
25025,MA,nh3,AP2,annual,high stack,315237.45842635648417188826683197090228964
25025,MA,voc,AP2,annual,high stack,17549.513646034727772895923064914094801608
25025,MA,pm25,EASIUR,annual,high stack,629490.1402122497171050032022803076757076
25025,MA,so2,EASIUR,annual,high stack,110617.96900902118861154282823268938889068
